id,title,image,imageType
1096282,Rustic Pasta with Chunky Vegetables,https://spoonacular.com/recipeImages/1096282-312x231.jpg,jpg
660835,Spaghetti With Pesto Trapanese,https://spoonacular.com/recipeImages/660835-312x231.jpg,jpg
653251,Noodles and Veggies With Peanut Sauce,https://spoonacular.com/recipeImages/653251-312x231.jpg,jpg
662222,Summer Garlic Mushrooms and Mostaccioli,https://spoonacular.com/recipeImages/662222-312x231.jpg,jpg
1095749,Slow Cooked Black Bean Soup,https://spoonacular.com/recipeImages/1095749-312x231.jpg,jpg
636442,Bulgur Wheat Salad,https://spoonacular.com/recipeImages/636442-312x231.jpg,jpg
656972,Potato Gnocchi With Kale and Mushrooms In A Goat Cheese Sauce,https://spoonacular.com/recipeImages/656972-312x231.jpg,jpg
715563,Pierogi Casserole,https://spoonacular.com/recipeImages/715563-312x231.jpg,jpg
650014,Light Cream Of Broccoli Soup With Cheddar Cheese,https://spoonacular.com/recipeImages/650014-312x231.jpg,jpg
647563,How Sweet It Is Sweet Potato Lasagne,https://spoonacular.com/recipeImages/647563-312x231.jpg,jpg
650484,Luscious Palak Paneer,https://spoonacular.com/recipeImages/650484-312x231.jpg,jpg
658615,"Roasted Peppers, Spinach & Feta Pizza",https://spoonacular.com/recipeImages/658615-312x231.jpg,jpg
648995,Kobocha Squash and Ginger Soup,https://spoonacular.com/recipeImages/648995-312x231.jpg,jpg
1095768,"Bulgur Wheat Salad with Chickpeas, Bell Peppers & Tomatoes",https://spoonacular.com/recipeImages/1095768-312x231.jpg,jpg
649921,Lentil Fritters (Parippu Vada),https://spoonacular.com/recipeImages/649921-312x231.jpg,jpg
642332,Eggs Florentine,https://spoonacular.com/recipeImages/642332-312x231.jpg,jpg
648275,Italian Tomato and Mozzarella Caprese,https://spoonacular.com/recipeImages/648275-312x231.jpg,jpg
652542,Mughlai Malai Kofta Curry,https://spoonacular.com/recipeImages/652542-312x231.jpg,jpg
649942,Lentils and Apples with Acorn Squash,https://spoonacular.com/recipeImages/649942-312x231.jpg,jpg
631752,Indian Spiced Red Lentil Soup,https://spoonacular.com/recipeImages/631752-312x231.jpg,jpg
635964,Bread Omlette,https://spoonacular.com/recipeImages/635964-312x231.jpg,jpg
633376,Bagels,https://spoonacular.com/recipeImages/633376-312x231.jpg,jpg
642468,Ethiopian Lentil Curry,https://spoonacular.com/recipeImages/642468-312x231.jpg,jpg
1165029,Instant Pot Curried Lentil Soup,https://spoonacular.com/recipeImages/1165029-312x231.jpg,jpg
1082038,Big Batch Smoothie Bowl,https://spoonacular.com/recipeImages/1082038-312x231.jpg,jpg
663225,The Best Of England Salad,https://spoonacular.com/recipeImages/663225-312x231.jpg,jpg
654009,Orecchiette With Sun-Dried and Fresh Cherry Tomatoes,https://spoonacular.com/recipeImages/654009-312x231.jpg,jpg
640798,Crisp Winter Salad with Maple Gorgonzola Dressing,https://spoonacular.com/recipeImages/640798-312x231.jpg,jpg
640234,Couscous Biryani,https://spoonacular.com/recipeImages/640234-312x231.jpg,jpg
636178,"Broccoli Cheddar Soup, A Panera Bread Co. Copycat",https://spoonacular.com/recipeImages/636178-312x231.jpg,jpg
645742,Grilled Kabobs,https://spoonacular.com/recipeImages/645742-312x231.jpg,jpg
641583,Double Blueberry Quinoa Salad,https://spoonacular.com/recipeImages/641583-312x231.jpg,jpg
645514,Green Salad With Fresh Orange Juice Dressing,https://spoonacular.com/recipeImages/645514-312x231.jpg,jpg
641962,Easy Eggplant Parmesan,https://spoonacular.com/recipeImages/641962-312x231.jpg,jpg
658440,Roast Fennel and Leek Salad with Butterbeans,https://spoonacular.com/recipeImages/658440-312x231.jpg,jpg
642272,Eggplant & Artichoke Heart Galettes,https://spoonacular.com/recipeImages/642272-312x231.jpg,jpg
632710,Arhar dal {Yellow split peas / Toovar dal} with spicy tempering,https://spoonacular.com/recipeImages/632710-312x231.jpg,jpg
664664,Vegetarian Haggis,https://spoonacular.com/recipeImages/664664-312x231.jpg,jpg
157018,Couscous with fried vegetables,https://spoonacular.com/recipeImages/157018-312x231.jpg,jpg
660475,Snow Pea Sesame Noodle Salad,https://spoonacular.com/recipeImages/660475-312x231.jpg,jpg
